spp_code,species,canonical_author,genus,family,order,clade,accession_number,ucbg_bed,ucbg_area,growth_form,venation_type,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_M_imputed,SWP_L,SWP_L_imputed,SWS_M,SWS_M_imputed,SWS_L,SWS_L_imputed,e_W,e_W_imputed,e_L,e_L_imputed,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Dkleaf_mean_imputed,Phe,Phe_imputed,Kleaf_max,P50,P50_imputed,P88,P88_imputed,ISI
Dic_feb,Hydrangea febrifuga,Lour.,Hydrangea,Hydrangeaceae,Cornales,asterids,20100254,236,Asia,shrub,pinnate,1.457355241,0.604864726,0.124006038,0.718756303,0.835377639,1,1.026911949,2.746081688,4.706028723,61.13,141.4,141.4,61.67,61.67,566.1,566.1,2946.15,2946.15,0.46,0.46,6.21,6.21,-53.01,-26.32,-39.665,-39.665,2.85,2.85,1.55,NA,0.536601607,NA,1.805316618,0.36
Dic_squ,Dicksonia squarrosa,(G. Forst.) Sw.,Dicksonia,Dicksoniaceae,Cyatheales,ferns,20100344,508,Australasia,tree,pinnate,2.198042282,1.542095289,0.717088264,0.779366785,0.850882449,0.969253372,1.122157934,1.133716564,1.276710218,123.52,636.78,636.78,142.62,142.62,556.34,556.34,48815.26,48815.26,69.01,69.01,NA,111.3277771,414.25,175.69,294.97,294.97,3.92,3.92,0.24,NA,1.608667719,NA,4.676929782,0.31
Dio_lyc,Diospyros lycioides,Desf.,Diospyros,Ebenaceae,Ericales,asterids,491820,144,Africa,tree,pinnate,3.678769064,1.156580175,0.105351569,0.649136751,0.90267757,1,0.717526999,1.472111946,2.314310503,101.78,27.74,27.74,46.53,46.53,577.58,577.58,3306.71,3306.71,0.62,0.62,NA,22.14872426,0,-38.74,-19.37,-19.37,6.68,6.68,32.91,NA,0.748252348,NA,2.385989816,0.34
Dio_pol,Dioscorea oppositifolia,Turcz.,Dioscorea,Dioscoreaceae,Dioscoreales,monocots,700034,Greenhouse 2,Tropical house,climbing,palmate,3.451596598,1.515348491,0.142282357,0.745171958,0.885584197,1,0.755784942,1.088556787,0.196574548,46.6,198.13,198.13,96.73,96.73,142.04,142.04,3064.74,3064.74,24.27,24.27,NA,57.05994501,-85.86,-91.06,-88.46,-88.46,1.27,1.27,0.91,NA,0.654960374,NA,1.860633341,0.26
Dip_esc,Diplazium esculentum,(Retz.) Sw.,Diplazium,Athyriaceae,Polypodiales,ferns,560655,511B,Australasia,herb,pinnate,3.584577349,1.579816743,0.262832519,0.612397897,0.817920469,1,2.739060413,2.948370605,3.164329316,43.25,24.16,24.16,58.83,58.83,499.66,499.66,13565.37,13565.37,16.63,16.63,NA,118.5435012,-92.21,-91.7,-91.955,-91.955,5.06,5.06,7.51,0.49,0.49,0.96,0.96,0.2
Dir_occ,Dirca occidentalis,A. Gray,Dirca,Thymelaeaceae,Malvales,rosids,870079,22A,California,shrub,pinnate,8.469506574,4.375254542,0.377096961,0.63624385,0.816888818,0.982621828,0.643317615,0.677893719,0.1752173,42.52,183.48,183.48,196.15,196.15,643.2,643.2,4218.45,4218.45,4.16,4.16,5.66,5.66,-52.67,-85.16,-68.915,-68.915,1.83,1.83,6.68,NA,0.690104934,NA,2.208747238,0.48
Doo_asp,Doodia aspera,R. Br.,Doodia,Blechnaceae,Polypodiales,ferns,541237,508,Australasia,herb,pinnate,1.844173728,1.277735417,0.566510433,0.6062728,0.799001123,0.989468318,0.929407093,0.891351429,1.060496202,119.71,430.26,430.26,255.77,255.77,498.89,498.89,8330.02,8330.02,115.59,115.59,NA,220.9966266,-97.4,-97.1,-97.25,-97.25,5.12,5.12,1.19,2.24,2.24,3.33,3.33,0.41
Dry_rem,Dryopteris ramosa,(C. Hope) C. Chr.,Dryopteris,Dryopteridaceae,Polypodiales,ferns,980390,500,Australasia,herb,pinnate,1.990707693,0.79920107,0.036072178,0.917634309,0.926944634,1,0.675693823,2.450695097,2.050799153,55.93,328.01,328.01,152.71,152.71,145.63,145.63,13797.98,13797.98,34.61,34.61,NA,135.0911215,-82.48,-76.88,-79.68,-79.68,2.1,2.1,2.07,NA,0.917610249,NA,2.056544077,0.31
Ehr_acu,Ehretia acuminata,R. Br.,Ehretia,Boraginaceae,Boraginales,asterids,980746,513,Australasia,tree,pinnate,4.037764336,0.50619879,0.137118008,0.669233395,0.966714506,0.995717929,0.619940259,1.850117395,1.208402934,64.72,57.85,57.85,26.84,26.84,188.19,188.19,1564.21,1564.21,3,3,7.71,7.71,-96.59,-70.22,-83.405,-83.405,2.6,2.6,10.54,NA,0.472781302,NA,1.74749406,0.36
Equ_tel,Equisetum telmateia,Ehrh.,Equisetum,Equisetaceae,Equisetales,ferns,750357,80,California,herb,NA,1.859995285,1.610637851,1.553942233,0.884831926,1,1,61.90166672,55.15150903,35.14862028,64.92,NA,142.0388233,77.16,77.16,NA,1941.471155,NA,5873.349691,14.45,14.45,NA,84.16094289,NA,-1.51,-1.51,-10.4747911,2.11,2.11,7.3,NA,1.13828756,NA,3.562047575,0.27
