spp_code,species,family,order,clade,VD.median,MST.median,ER.median,CR.median,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,rmin_binned
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.31840948949426745,0.881378294,1.326637723721137,0.422855471,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.09
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.2963903836159331,0.8647253495,1.1716805123411416,0.4241843965,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.09999999999999999
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.28646143021356296,0.857329149,1.3265529363730646,0.424532545,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.11
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.2726891398644251,0.849583924,0.5461530243439104,0.317644234,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.12
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.2694682365326199,0.8654120695,0.5463583778070947,0.3164027815,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.13
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.2560699279493787,0.856717292,0.5463957814624852,0.317795768,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.14
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.23699259798567548,0.863165159,2.121409757213349,0.4336268955,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.15000000000000002
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.22184937232275415,0.900797017,2.9602671874342694,0.228814876,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.16
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.14467454510037348,0.989237822,0.551240416696744,0.491750088,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.17
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.1446068532262562,0.99527601,0.5514023848334354,0.491857956,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.18000000000000002
Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,0.13007508600804382,1,0.5514045420560117,0.491882935,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,0.21000000000000002
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,2.661730912770861,0.610319628,1.156820226310035,0.576485672,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.01
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,2.563782696622317,0.6319270255,1.1518783540374393,0.564084815,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.02
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,2.1923184358117322,0.719472146,1.1973789149638472,0.488644626,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.03
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,1.3710091974527376,0.8635791045,2.109757039803399,0.2681770535,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.04
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,1.0319445937161549,0.9168119235000001,2.1723327263566232,0.286233499,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.05
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,0.7469239372252037,0.925306031,2.1889147091652523,0.28763093,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.060000000000000005
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,0.6340561177845381,0.940120806,2.2165269425387097,0.295145,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.06999999999999999
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,0.46242016500148436,0.901284623,2.2186965583423075,0.295732977,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.15000000000000002
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,0.39791383238083095,0.884802283,2.220366597433856,0.29593492,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.17
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,0.37938242183843995,0.886601368,2.22080565336096,0.295988996,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.19
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,0.36286359282793856,0.965191126,2.22773333121359,0.296999746,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.21000000000000002
Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,0.2529426061382305,1,2.231270864552307,0.297408807,110.34,132.61,62.69,226.86,3250.95,5.34,66.33640202474747,-54.72,-13.44,-34.08,4.86,27.43,1.073675830759823,2.09494642816348,0.66,0.25
Ari_bae,Aristolochia baetica,Aristolochiaceae,Piperales,basal angiosperms,2.67395745758978,0.657442057,0.8061499978291882,0.671399544,74.16,255.49,182.43,736.49,7176.13,3.36,62.31244063616886,68.81,-52.18,8.315000000000001,3.14,1.06,0.8547605933150715,2.112680522240204,0.38,0.01
Ari_bae,Aristolochia baetica,Aristolochiaceae,Piperales,basal angiosperms,2.4354698958311927,0.7167354875,0.7770265893133902,0.6774514899999999,74.16,255.49,182.43,736.49,7176.13,3.36,62.31244063616886,68.81,-52.18,8.315000000000001,3.14,1.06,0.8547605933150715,2.112680522240204,0.38,0.02
Ari_bae,Aristolochia baetica,Aristolochiaceae,Piperales,basal angiosperms,1.8692051645017462,0.851901941,0.7649445973402257,0.654629598,74.16,255.49,182.43,736.49,7176.13,3.36,62.31244063616886,68.81,-52.18,8.315000000000001,3.14,1.06,0.8547605933150715,2.112680522240204,0.38,0.03
