...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
70,Mel_maj,Melianthus major,Francoaceae,Geraniales,rosids,2.245769316,0.340182837,0.255517835,0.678345551,0.95448552,0.990930774,0.820936478,1.144980308,1.146256569,86.55,370.18,64.46,804.79,13784.6,8.67,45.75406811,-79.58,5.23,-37.175,7,1.18,0.811244669,2.665738896,0.23,5
71,Met_dav,Metapanax davidii,Araliaceae,Apiales,asterids,0.99304235,0.53908248,0.191465242,0.800152253,0.955253297,1,0.954228754,1.183290973,1.164331569,99.04,224.47,151.45,688.75,5196.97,9.25,26.62,-35.56,-5.56,-20.56,0.85,1.12,0.56,1.96,0.34,6
72,Mic_mul,Miconia multiplinervia,Melastomataceae,Myrtales,rosids,1.198424507,0.834953679,0.579726164,0.809101291,0.883661376,0.969985926,0.873041379,0.940926984,1.030422288,45.64,119.33,119.31,480.59,9266.65,4.43,103.388396,-88.02,-56.83,-72.425,6.16,1.36,0.935428633,2.514631779,0.26,5
73,Mic_pla,Microlepia platyphylla,Dennstaedtiaceae,Polypodiales,ferns,1.160492003,1.144982392,0.807481315,0.95345671,0.959288893,0.969773668,1.790530066,1.790661772,1.799581522,84.72,253.04,204.7,368.47,8601.36,137.9637591,210.6734916,-84.17,-94.05,-89.11,2.83,0.86,0.75,2.3,0.36,1
74,Mon_car,Montinia caryophyllacea,Montiniaceae,Solanales,asterids,1.885004434,1.061088108,0.453560283,0.699592662,0.899165655,0.96504121,0.876656084,1.64049239,1.123179115,56.03,218.28,218.15,731.59,2453.54,81.89542272,198.9805757,-65.19154528,-69.01838992,-67.1049676,4.41,4.86,1.032533018,2.724850172,0.39,6
75,Myr_rub,Morella rubra,Myricaceae,Fagales,rosids,1.886381099,0.420091404,0.259250857,0.670224064,0.990580843,0.995695136,0.790572446,2.18288367,1.553905703,137.72,406.47,197.96,1536.5,5473.72,1.19,21.00580919,-92.69,-95.53,-94.11,4.39,10.19,0.842176799,1.517830528,0.31,5
76,Nan_dom,Nandina domestica,Berberidaceae,Ranunculales,basal eudicots,2.050621636,0.647768335,0.261514719,0.708362203,0.987846588,1,0.916471652,1.571182561,0.99604429,93.92,297.5387421,115.16,1522.99,8099.51,7.32,57.23103845,-52.14,52.28,0.07,6.1,2.73,1.24,3.76,0.43,4
77,Not_fus,Fuscospora fusca,Nothofagaceae,Fagales,rosids,2.254825432,1.738121711,0.559861463,0.66709689,0.763848353,1,0.765398332,0.869928129,0.909618119,154.23,249.2,104.16,2790.33,6925.46,11.75,20.88,-85.84,55.56,-15.14,6.38,11.09,1.14,4.33,0.31,5
78,Ole_eur,Olea europaea,Oleaceae,Lamiales,asterids,2.482202884,0.876992299,0.42904994,0.715777998,0.987607298,1,0.96305952,2.020632192,1.32617681,184.6,382.4061626,186.36,4456.98,8692.09,4.5,48.3117374,-33.13,-40.6,-36.865,3.52,3.38,1.0084762,2.578997326,0.83,6
79,Ono_sen,Onoclea sensibilis,Onocleaceae,Polypodiales,ferns,2.27954549,2.057311872,0.479466858,0.49072959,0.653940941,0.981608085,1.498921378,1.87401131,2.155413888,22.54,99.38,190.5,458.1,4948.88,3.11,82.06978086,-88.57,-95.99,-92.28,5.95,1.16,1.02953045,2.546250851,0.22,1
