spp_code,leaf_area,SLA,LMA,LDMC,VTotV,PS_M,PS_L,PSS_M,PSS_L,WP_M,WP_L,SWP_M,SWP_L,SS_M,SS_L,WS_M,WS_L,SWS_M,SWS_L,e_W,e_L,E_W,E_L,Kleaf_max,Dkleaf_M,Dkleaf_L,P50,P88,ISI,gsw_max,A_max,Phe
Myr_rub,15.58,7.26,137.72,506.38,86.63,73.11,19.8,116.04,75.08,256.08,50.74,406.47,197.96,4.12,0.26,1.19,1.3,1536.5,5473.72,1.19,NA,0.093,NA,10.19,-92.69,-95.53,NA,NA,0.31,NA,NA,4.39
Nan_dom,11.45,10.65,93.92,479.3,31.74,NA,12.49,NA,79.81,NA,17.98,NA,115.16,6.39,0.41,0.81,1.5,1522.99,8099.51,7.32,NA,0.102,NA,2.73,-52.14,52.28,1.24,3.76,0.43,47.57,3.9,6.1
Not_fus,3.4,6.48,154.23,518.16,21.52,36.94,13.82,153.9,62.55,59.81,23.03,249.2,104.16,8.06,0.36,0.84,1.91,2790.33,6925.46,11.75,20.88,0.033,0.04,11.09,-85.84,55.56,1.14,4.33,0.31,26.44,8.96,6.38
Nym,171.84,14.06,71.15,208.31,NA,36.9,11.82,34.11,17.01,122.69,31.28,114.17,45.23,1.31,0.09,1.23,2.31,630.64,4267.1,0.18,3.13,0.254,0.146,0.48,77.66,281.01,NA,NA,0.23,NA,NA,6.74
Ole_eur,2.67,5.42,184.6,541.78,5.01,NA,28.31,NA,76.83,NA,71.19,NA,186.36,6.03,0.96,2.25,3.08,4456.98,8692.09,4.5,NA,0.081,NA,3.38,-33.13,-40.6,NA,NA,0.83,NA,NA,3.52
Ono_sen,34.01,44.36,22.54,163.17,7.47,21.21,7.79,44.38,70.62,47.31,20.6,99.38,190.5,1.64,0.25,0.37,1.23,458.1,4948.88,3.11,NA,0.104,NA,1.16,-88.57,-95.99,NA,NA,0.22,NA,NA,5.95
Osm_ber,6.95,52.87,18.91,187.13,0.4,9.61,4.43,24.95,48.8,25.41,11.75,66.74,128.74,14.56,0.5,0.11,1.25,875.28,14448.04,NA,NA,NA,NA,7.59,-8.19,1.59,NA,NA,0.44,NA,NA,2.35
Pae_bro,18.01,14.3,69.92,272.77,97.62,52.85,19.33,166.73,96.76,164.72,49.22,521.06,240.39,0.08,0.2,18.62,1.55,42792.97,6640.94,NA,NA,NA,NA,16.29,-88.56,-89.37,NA,NA,0.44,NA,NA,7.54
Par_tor,118.19,4.05,246.69,576.9,30.83,247.58,99.47,317.86,191.29,439.46,204.18,553.15,363.09,45.64,1.05,3.42,0.27,3483.18,19.49,55.85,266.02,5.561,2.529,1.19,-99.93,-99.73,NA,NA,0.23,NA,NA,2.54
Per_acu,10.99,14.97,66.78,145.23,6.69,2.93,2.29,5.49,5.32,7.94,5.61,14.83,12.62,0.12,0.02,0.11,0.18,86.13,447.89,NA,NA,NA,NA,0.4,-82.01,-89.7,NA,NA,0.33,NA,NA,1.7
Peu_bol,11.96,7.84,127.61,439.73,51.05,48.57,20.26,100.7,72.9,120.86,36.31,250.17,130.58,0.75,0.04,0.62,0.77,746.56,1788.63,41.74,33.13,1.6,0.229,7.3,-93.84,-93.96,NA,NA,0.5,NA,NA,4.16
Phi_lat,8.9,5.09,196.63,527.92,50.22,86.75,25.25,211.61,78.95,201.88,47.64,491.99,150.69,0.14,0.24,27.1,1.69,48897.43,4948.59,17.92,41.33,0.331,0.144,20.03,-74.6,-83.7,NA,NA,0.39,NA,NA,4.39
Phi_var,9.76,36.51,27.39,164.92,13.8,27.76,15.2,82.09,89.39,59.04,30.58,170.27,179.88,5.1,0.28,0.12,1,232.78,5380.5,15.77,NA,0.034,NA,2.26,-32.61,-91.55,NA,NA,0.32,NA,NA,0.8
Phy_pur,3.47,18.72,53.41,324.12,2.23,4.74,1.69,14.97,9.2,10.26,2.91,30.59,16.17,0.57,0.08,0.04,0.24,89.05,1366.71,2.51,NA,0.015,NA,4.14,-86.87,-83.78,NA,NA,0.34,NA,NA,6.26
Pit_vir,10.88,9.87,101.35,349.87,73.44,53.51,18.79,140.81,65.89,130.02,44.01,342.17,154.37,1.61,0.2,0.8,1.38,1000.73,4783.9,3.53,2.3,0.094,0.012,6.23,10.85,-87.43,0.28,0.86,0.57,120.37,8.96,2.33
Pla_ori,58.73,11,90.88,388.51,87.72,31.34,6.33,130.22,31.06,84.63,9.25,349.36,46.33,5.13,0.07,0.62,5.22,1103.9,12301.78,5.01,1.03,0.028,0.029,5.85,-78.32,-71.55,NA,NA,0.32,NA,NA,3.48
Pol_cor,4.98,15.52,64.43,382.2,3.13,9.16,6.31,57.27,48.6,17.03,10.3,106.45,79.55,4.44,0.36,0.13,0.57,701.9,4960.75,NA,NA,NA,NA,2.06,-1.56,-65.79,NA,NA,0.43,NA,NA,3.32
Pol_cri,37.68,17.01,58.79,194.98,52.56,43.84,11.69,105.05,52.36,95.22,21.27,225.92,94.12,1.36,0.12,1.1,0.77,2127.92,3679.12,15.35,241.16,0.146,0.184,2.13,73.74,272.13,NA,NA,0.35,NA,NA,5.54
