...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_minor,VD_medium,VD_major,MST_minor,MST_medium,MST_major,ER_minor,ER_medium,ER_major,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
56,Euc_cri,Euclea crispa,Ebenaceae,Ericales,asterids,5.987125511,4.215043381,1.7697226015,0.595691337,0.702985729,0.925870591,0.9117752475,0.836668157,1.403012364,162.41,NA,118.3,2258.59,6827.64,29.47,39.83,-63.89,-62.41,-63.15,6.96,28.99,NA,NA,0.53,6
57,Eur_jap,Eurya japonica,Pentaphylacaceae,Ericales,asterids,3.857786429,2.1075402580000002,0.7962318515,0.76345149,0.8144077445,0.934211315,0.919642307,1.122875162,1.8745888845,150.95,NA,260.54,601.13,5920.35,2.95,25.51,-76.07,-47.36,-61.715,2.41,2.45,NA,NA,0.42,6
58,Eus_jap,Staphylea japonica,Staphyleaceae,Crossosomatales,rosids,8.005526129,3.467139986,0.1580871065,0.637561536,0.821374488,0.992441929,0.697170033,1.037858213,1.8826586775,76.87,135.84,63.31,499.14,4487.42,0.67,NA,-98.68,-98.73,-98.705,6.4,9.4,NA,NA,0.24,5
59,Fra_son,Francoa appendiculata,Francoaceae,Geraniales,rosids,2.608982556,0.638914948,0.0965189315,0.7642108745,0.913065265,0.9873398925,0.639925703,0.722183627,0.7031161315,71.12,108.72,57.24,129.92,1460.66,90.38,78.85,-75.73,-90.31,-83.02,6.64,1.63,0.66,1,0.24,5
60,Gom_keu,Gomortega keule,Gomortegaceae,Laurales,basal angiosperms,4.415602001,0.682962707,0.182776012,0.688816731,0.959095337,0.998558764,0.758569796,1.275410082,0.786870608,276.2,364,140.59,1715.99,4501.98,4.8,11.99,-74,-38.86,-56.43,6.77,11.79,NA,NA,0.33,2
61,Hel_chi,Helwingia chinensis,Helwingiaceae,Aquifoliales,asterids,1.815392963,0.134179938,0.107892024,0.807059072,0.960419602,0.983940655,1.342229999,8.68049918,8.678526248,88.09,156.32,94.35,544.69,2308.55,2.88,19.1,-47.82,-65.27,-56.545,2.02,12.67,NA,NA,0.39,6
62,Hib_sca,Hibbertia scandens,Dilleniaceae,Dilleniales,rosids,8.642731487,6.516411421,1.121313556,0.555992068,0.730967123,0.902796772,0.655025369,0.839188923,1.305607443,91.72,132.67,120.1,737.11,4048.73,4.21,NA,-66.45,-43.6,-55.025,4.13,3.2,NA,NA,0.33,5
63,Ill_lan,Illicium lanceolatum,Schisandraceae,Austrobaileyales,basal angiosperms,4.601915509,0.396979344,0.105961342,0.68889599,0.964018367,0.988982305,0.801921229,2.910991795,2.913579376,111.47,NA,141.87,1591.79,4090.29,5.81,18.57,-98.25,-98.42,-98.335,1.27,12.4,0.16,0.51,0.35,2
64,Ite_ili,Itea ilicifolia,Iteaceae,Saxifragales,basal eudicots,3.77708055,2.269969247,0.363863872,0.638608722,0.799365658,0.988133173,0.6844306045,0.848919138,0.57552398,207.03,NA,209.15,1450.33,18989.68,5.83,75.75,-63.64,13.43,-25.105,4.68,4.65,NA,NA,0.38,4
65,Kni_uva,Kniphofia uvaria,Asphodelaceae,Asparagales,monocots,4.020099796,0,0,0.638974354,0,0,26.04265113,0,9.491080677,92.15,476.25,219.26,390.98,5351.83,30.11,71.2,-81.95,-96.71,-89.33,1.02,11.58,NA,NA,0.22,3
