spp_code,rmin_binned,VD.median,MST.median,ER.median,CR.median,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Cel_aus,0.9,0.008825445500000001,0.9859614375000001,3.09911509,0.2311778445,Celtis australis,Celtis australis,L.,Celtis,Cannabaceae,Rosales,rosids,20210519,"Ilaine, Mickey, Gideon",790592,701,Mediterranean,tree,0.1721
Cel_ten,0.3,3.3311016575,0.6900502135,0.6001595430000001,0.6850834495,Celtis tenufolia,Celtis tenuifolia,Nutt.,Celtis,Cannabaceae,Rosales,rosids,20210726,"Mickey,Somona,James",820564,304,Eastern North America,tree,0.1721
Cel_ten,0.6,0.682295919,0.961188504,1.333931556,0.433619099,Celtis tenufolia,Celtis tenuifolia,Nutt.,Celtis,Cannabaceae,Rosales,rosids,20210726,"Mickey,Somona,James",820564,304,Eastern North America,tree,0.1721
Cel_ten,0.9,0.159196746,0.9996577529999999,0.7103180189999999,0.334582225,Celtis tenufolia,Celtis tenuifolia,Nutt.,Celtis,Cannabaceae,Rosales,rosids,20210726,"Mickey,Somona,James",820564,304,Eastern North America,tree,0.1721
Chi_nit,0.3,2.0055486140000003,0.7253865690000001,0.5737060485000001,0.7074335764999999,Chimonanthus nitens,Chimonanthus nitens,Oliv.,Chimonanthus,Calycanthaceae,Laurales,basal angiosperms,20210317,"Mickey, Ilaine, Adrian, Eric",760477,245C,Asia,tree,0.1099
Chi_nit,0.6,0.223700642,0.9889324365000001,2.8492746675,0.2807028075,Chimonanthus nitens,Chimonanthus nitens,Oliv.,Chimonanthus,Calycanthaceae,Laurales,basal angiosperms,20210317,"Mickey, Ilaine, Adrian, Eric",760477,245C,Asia,tree,0.1099
Chi_nit,0.9,0.068241093,0.998224943,1.7233424400000001,0.362688912,Chimonanthus nitens,Chimonanthus nitens,Oliv.,Chimonanthus,Calycanthaceae,Laurales,basal angiosperms,20210317,"Mickey, Ilaine, Adrian, Eric",760477,245C,Asia,tree,0.1099
Chl_spi,0.3,2.826741337,0.811610561,0.842814677,0.592412426,Chloranthus spicatus,Chloranthus spicatus,(Thunb.) Makino,Chloranthus,Chloranthaceae,Chloranthales,basal angiosperms,20210816,Mickey,870468,Greenhouse 2,Tropical house,shrub,0.3052
Chl_spi,0.6,0.118129441,0.989999895,2.471531835,0.318556854,Chloranthus spicatus,Chloranthus spicatus,(Thunb.) Makino,Chloranthus,Chloranthaceae,Chloranthales,basal angiosperms,20210816,Mickey,870468,Greenhouse 2,Tropical house,shrub,0.3052
Chl_spi,0.9,0.063564413,0.994591769,0.975752333,0.432392583,Chloranthus spicatus,Chloranthus spicatus,(Thunb.) Makino,Chloranthus,Chloranthaceae,Chloranthales,basal angiosperms,20210816,Mickey,870468,Greenhouse 2,Tropical house,shrub,0.3052
Cis_ant,0.3,6.187800644,0.675903846,0.6793719579999999,0.649193631,Cissus antarctica,Cissus antarctica,Vent.,Cissus,Vitaceae,Vitales,rosids,20210329,"Ilaine, Mickey, Adrian, James",20010620,505,Australasia,climbing,0.1069
Cis_ant,0.6,0.589410194,0.976237837,1.1798309749999998,0.503997282,Cissus antarctica,Cissus antarctica,Vent.,Cissus,Vitaceae,Vitales,rosids,20210329,"Ilaine, Mickey, Adrian, James",20010620,505,Australasia,climbing,0.1069
Cis_ant,0.9,0.09263275800000001,0.993736029,0.7742546874999999,0.4395439335,Cissus antarctica,Cissus antarctica,Vent.,Cissus,Vitaceae,Vitales,rosids,20210329,"Ilaine, Mickey, Adrian, James",20010620,505,Australasia,climbing,0.1069
Cis_pop,0.3,7.999399303,0.707967334,0.6332350259999999,0.644899907,Cistus populifolius,Cistus populifolius,L.,Cistus,Cistaceae,Malvales,rosids,20210517,"Mickey, Ilaine, Gideon",20041097,700B,Mediterranean,shrub,0.0222
Cis_pop,0.6,1.257282475,0.9445628845,0.9705182775000001,0.5512605595,Cistus populifolius,Cistus populifolius,L.,Cistus,Cistaceae,Malvales,rosids,20210517,"Mickey, Ilaine, Gideon",20041097,700B,Mediterranean,shrub,0.0222
Cis_pop,0.9,0.18766892200000002,0.9931996245,1.0313852540000001,0.30216624400000003,Cistus populifolius,Cistus populifolius,L.,Cistus,Cistaceae,Malvales,rosids,20210517,"Mickey, Ilaine, Gideon",20041097,700B,Mediterranean,shrub,0.0222
Cit_mon,0.3,5.5340972755,0.6836806895,0.6685184624999999,0.6849615870000001,Citharexylum montevidense,Citharexylum montevidense,(Spreng.) Moldenke,Citharexylum,Verbenaceae,Lamiales,asterids,20210428,"Mickey, Adrian, Noah",20140599,653,South-America,tree,0.0383
Cit_mon,0.6,0.327343237,0.988132573,2.836950052,0.324091596,Citharexylum montevidense,Citharexylum montevidense,(Spreng.) Moldenke,Citharexylum,Verbenaceae,Lamiales,asterids,20210428,"Mickey, Adrian, Noah",20140599,653,South-America,tree,0.0383
Cit_mon,0.9,0.050225733,0.9928046625,2.707220789,0.38864078550000003,Citharexylum montevidense,Citharexylum montevidense,(Spreng.) Moldenke,Citharexylum,Verbenaceae,Lamiales,asterids,20210428,"Mickey, Adrian, Noah",20140599,653,South-America,tree,0.0383
Clu_ala,0.3,2.73829222,0.794727612,0.649079698,0.308671184,Clusia alata,Clusia alata,Planch. & Triana,Clusia,Clusiaceae,Malpighiales,rosids,20210721,"Ilaine, Sonoma, James",891280,359,Mexico/Central America,tree,0.1266
Clu_ala,0.6,1.8439152509999999,0.861540447,1.0959612035,0.3954705415,Clusia alata,Clusia alata,Planch. & Triana,Clusia,Clusiaceae,Malpighiales,rosids,20210721,"Ilaine, Sonoma, James",891280,359,Mexico/Central America,tree,0.1266
Clu_ala,0.9,0.182257492,1,1.959861997,0.200999,Clusia alata,Clusia alata,Planch. & Triana,Clusia,Clusiaceae,Malpighiales,rosids,20210721,"Ilaine, Sonoma, James",891280,359,Mexico/Central America,tree,0.1266
Cne_tri,0.3,6.908238904,0.6814404205,0.839533522,0.591690402,Cneorum tricoccon,Cneorum tricoccon,L.,Cneorum,Rutaceae,Sapindales,rosids,20210524,"Mickey, Adrian,James",20041196,702,Mediterranean,shrub,0.1722
Cne_tri,0.6,0.23411125100000002,1,4.5202356035,0.3194156495,Cneorum tricoccon,Cneorum tricoccon,L.,Cneorum,Rutaceae,Sapindales,rosids,20210524,"Mickey, Adrian,James",20041196,702,Mediterranean,shrub,0.1722
Cne_tri,0.9,0.129561479,1,4.460531388,0.309259393,Cneorum tricoccon,Cneorum tricoccon,L.,Cneorum,Rutaceae,Sapindales,rosids,20210524,"Mickey, Adrian,James",20041196,702,Mediterranean,shrub,0.1722
Com_ery,0.3,2.607179286,0.714980042,0.8240698369999999,0.59260788,Combretum erythrophyllum,Combretum erythrophyllum,Sond.,Combretum,Combretaceae,Myrtales,rosids,20210210,"Ilaine, Mickey; Mickey, Ilaine, Ethan",730581,144,Africa,tree,0.2631
Com_ery,0.6,0.795290667,0.9420828354999999,1.528189219,0.4712776225,Combretum erythrophyllum,Combretum erythrophyllum,Sond.,Combretum,Combretaceae,Myrtales,rosids,20210210,"Ilaine, Mickey; Mickey, Ilaine, Ethan",730581,144,Africa,tree,0.2631
Com_ery,0.9,0.13626164699999999,0.989043883,1.7385124379999999,0.59830997,Combretum erythrophyllum,Combretum erythrophyllum,Sond.,Combretum,Combretaceae,Myrtales,rosids,20210210,"Ilaine, Mickey; Mickey, Ilaine, Ethan",730581,144,Africa,tree,0.2631
Com_umb,0.3,6.052394198,0.739616425,1.1034023249999998,0.494655838,Comandar umbellata,Comandra umbellata,(L.) Nutt.,Comandra,Comandraceae,Santalales,rosids,20210706,"Mickey, Adrian, Lisa, James, Sophia",941236,23B,California,shrub,0.2529
Com_umb,0.6,0.37664711149999996,0.9425492520000001,1.3774199525,0.2806710645,Comandar umbellata,Comandra umbellata,(L.) Nutt.,Comandra,Comandraceae,Santalales,rosids,20210706,"Mickey, Adrian, Lisa, James, Sophia",941236,23B,California,shrub,0.2529
Com_umb,0.9,0.085067421,1,1.4648625215,0.318009058,Comandar umbellata,Comandra umbellata,(L.) Nutt.,Comandra,Comandraceae,Santalales,rosids,20210706,"Mickey, Adrian, Lisa, James, Sophia",941236,23B,California,shrub,0.2529
Cor_bud,0.3,4.916005382,0.6998194595,0.9333498335,0.5978619215,Corokia buddleioides,Corokia buddleioides,A.Cunn.,Corokia,Argophyllaceae,Asterales,asterids,20210704; 20210825,"Mickey, Ilaine; Ilaine, Mickey",505941025,505,Australasia,shrub,0.0924
Cor_bud,0.6,0.130254863,1,3.9131129830000004,0.349565139,Corokia buddleioides,Corokia buddleioides,A.Cunn.,Corokia,Argophyllaceae,Asterales,asterids,20210704; 20210825,"Mickey, Ilaine; Ilaine, Mickey",505941025,505,Australasia,shrub,0.0924
Cor_bud,0.9,0.032060574,1,3.91670318,0.34771975,Corokia buddleioides,Corokia buddleioides,A.Cunn.,Corokia,Argophyllaceae,Asterales,asterids,20210704; 20210825,"Mickey, Ilaine; Ilaine, Mickey",505941025,505,Australasia,shrub,0.0924
Cor_lae,0.3,4.351804921499999,0.6725395224999999,0.9254183735,0.585349012,Corynocarpus laevigata,Corynocarpus laevigata,J.R.Forst. & G.Forst.,Corynocarpus,Corynocarpaceae,Cucurbitales,rosids,20210504,Mickey Adrian,770128,508,Australasia,tree,0.1469
Cor_lae,0.6,0.367220206,0.973498914,1.3890307169999998,0.640423644,Corynocarpus laevigata,Corynocarpus laevigata,J.R.Forst. & G.Forst.,Corynocarpus,Corynocarpaceae,Cucurbitales,rosids,20210504,Mickey Adrian,770128,508,Australasia,tree,0.1469
