...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
66,Lon_jap,Lonicera japonica,Caprifoliaceae,Dipsacales,asterids,2.031948822,1.713333907,0.918064797,0.68766346,0.750862279,0.929454311,0.728627059,0.803585318,1.219913633,48.61,76.27,170.3,325.21,6525.94,NA,NA,-91.93,-97.54,-94.735,1.48,12.78,NA,NA,0.33,6
67,Luz_niv,Luzula nivea,Juncaceae,Poales,monocots,2.418725971,0.931410545,0,0.69609199,0.998241283,0,8.243422978,7.469671977,0,93.22,NA,333.32,NA,6999.55,467.62,NA,NA,-70.54,NA,2.61,12.87,NA,NA,0.43,3
68,Mag_che,Magnolia chevalieri,Magnoliaceae,Magnoliales,basal angiosperms,1.545739747,1.066150474,0.282818815,0.84999652,0.844095173,0.929260242,0.922212264,1.04260475,1.988779221,93.62,361.01,63.49,2524.91,5771.59,9.79,NA,-97.17,-97.46,-97.315,1.75,34.83,0.73,1.96,0.27,2
69,Mal_pal,Malacothamnus palmeri,Malvaceae,Malvales,rosids,2.6861561,2.336126356,0.70043892,0.572239027,0.701850847,0.960816817,0.774746519,0.793444668,0.835744495,100.94,7.7,25.63,83.35,731.72,0.12,NA,-93.84,-92.73,-93.285,1.57,4.73,NA,NA,0.5,5
70,Mel_maj,Melianthus major,Francoaceae,Geraniales,rosids,2.516713809,2.235052093,0.865185504,0.541796326,0.684035874,0.951288232,0.810326243,0.818910662,1.012118432,86.55,370.18,64.46,804.79,13784.6,8.67,NA,-79.58,5.23,-37.175,7,1.18,NA,NA,0.23,5
71,Met_dav,Metapanax davidii,Araliaceae,Apiales,asterids,1.173118151,0.923966324,0.191465242,0.787053797,0.82055145,1,0.985021999,0.983146098,1.164331569,99.04,224.47,151.45,688.75,5196.97,9.25,26.62,-35.56,-5.56,-20.56,0.85,1.12,0.56,1.96,0.34,6
72,Mic_mul,Miconia multiplinervia,Melastomataceae,Myrtales,rosids,1.207348267,1.034598014,0.642827068,0.805408748,0.825308724,0.949182699,0.869247083,0.896536737,1.037138038,45.64,119.33,119.31,480.59,9266.65,4.43,NA,-88.02,-56.83,-72.425,6.16,1.36,NA,NA,0.26,5
73,Mic_pla,Microlepia platyphylla,Dennstaedtiaceae,Polypodiales,ferns,1.160474335,1.085570046,0,0.953515626,0.964522777,0,1.790530211,1.798732052,0,84.72,253.04,204.7,368.47,8601.36,NA,NA,-84.17,-94.05,-89.11,2.83,0.86,0.75,2.3,0.36,1
74,Mon_car,Montinia caryophyllacea,Montiniaceae,Solanales,asterids,2.109072949,1.725028871,0.469229579,0.659043308,0.751749165,0.963404473,0.818080543,0.987764654,1.277741189,56.03,218.28,218.15,731.59,2453.54,NA,NA,NA,NA,NA,4.41,4.86,NA,NA,0.39,6
75,Myr_rub,Morella rubra,Myricaceae,Fagales,rosids,2.217171105,1.884527624,0.813487513,0.581155311,0.67091849,0.96635038,0.693239866,0.789826837,1.453806207,137.72,406.47,197.96,1536.5,5473.72,1.19,NA,-92.69,-95.53,-94.11,4.39,10.19,NA,NA,0.31,5
76,Nan_dom,Nandina domestica,Berberidaceae,Ranunculales,basal eudicots,2.359624226,2.02110609,0.644829533,0.640328954,0.719159064,0.988666779,0.850713889,0.921949251,1.540404102,93.92,NA,115.16,1522.99,8099.51,7.32,NA,-52.14,52.28,0.07,6.1,2.73,1.24,3.76,0.43,4
77,Not_fus,Fuscospora fusca,Nothofagaceae,Fagales,rosids,2.426935096,2.072510502,0.620085734,0.645794222,0.718861025,1,0.729286176,0.819041455,1.111531968,154.23,249.2,104.16,2790.33,6925.46,11.75,20.88,-85.84,55.56,-15.14,6.38,11.09,1.14,4.33,0.31,5
78,Ole_eur,Olea europaea,Oleaceae,Lamiales,asterids,2.743297933,2.276050404,0.42904994,0.643580262,0.771406405,1,0.940980423,0.982463031,1.32617681,184.6,NA,186.36,4456.98,8692.09,4.5,NA,-33.13,-40.6,-36.865,3.52,3.38,NA,NA,0.83,6
